plant,GH_start,treatment,CO2,species,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,SLA,LDMC,dryShootBiomass,shootDMC,dryRootBiomass,RGRshoot,RGRfineRoot,RGRcoarseRoot,RGRroot,RMF,allrootDMC,dryBiomass,rootFineProportion,stemDMC,stemDensity,rootDensity,root density
C41,5,control,A,cas,4.655,1.678,0.282240951,0.188412306,15.87600153,0.306753148,11.299,0.312213319,6.333,0.055972222,0.009322222,0.025861111,0.035183333,0.359176497,0.203005485,17.632,0.264961314,0.35443038,0.385321101,0.389878831,0.352154532
C42,5,control,A,cas,7.355,3.791,0.268616924,0.182487725,21.75761589,0.392715232,16.442,0.371151242,11.146,0.084577778,0.021061111,0.040861111,0.061922222,0.404016239,0.191201576,27.588,0.340122017,0.400641026,0.436757512,0.323636364,0.383810188
C43,5,recovery,A,cas,3.211,0.974,0.196812749,0.119450576,22.71376592,0.309278351,9.415,0.319879047,4.185,0.046888889,0.005411111,0.017838889,0.02325,0.307720588,0.195457387,13.6,0.232735962,0.355776588,0.396081772,0.368361582,0.361403509
C44,5,recovery,A,cas,4.23,1.656,0.195065714,0.155741559,17.23988439,0.349710983,11.863,0.337967579,5.886,0.059766667,0.0092,0.0235,0.0327,0.331624317,0.218705446,17.749,0.281345566,0.362099125,0.387157107,0.295890411,0.348998459
C45,5,waterlogged,A,cas,0.659,0.202,0.235525375,0.158929976,20.89604685,0.334553441,4.053,0.325176508,0.861,0.021552632,0.001328947,0.004335526,0.005664474,0.175213675,0.205471661,4.914,0.234610918,0.373831776,0.404040404,0.375830013,0.334862385
C46,5,recovery,A,cas,6.003,2.251,0.204017129,0.20035603,20.3272,0.3216,12.198,0.340583554,8.254,0.061088889,0.012505556,0.03335,0.045855556,0.403579112,0.250758342,20.452,0.272716259,0.359550562,0.40302267,0.331730769,0.389878831
C47,5,control,A,cas,1.947,0.965,0.226369027,0.145572485,22.26855124,0.306537102,6.78,0.302273741,2.912,0.0334,0.005361111,0.010816667,0.016177778,0.300453983,0.291329614,9.692,0.331387363,0.321128909,0.350249584,0.384311791,0.323636364
C48,5,recovery,A,cas,2.526,1.226,0.225676762,0.153192553,19.39976345,0.398580721,8.122,0.354069489,3.752,0.03875,0.006811111,0.014033333,0.020844444,0.315984504,0.27801615,11.874,0.326759062,0.379310345,0.42459605,0.359732824,0.368361582
E1,2,waterlogged,E,euc,3.667,1.526,0.232000506,0.346818182,29.71348979,0.419972987,18.812,0.376646779,5.193,0.087724832,0.010241611,0.024610738,0.034852349,0.216329931,0.25700287,24.005,0.293857115,0.379583746,0.348181818,0.215625,0.215625
E2,2,control,E,euc,10.999,3.544,0.253019254,0.194864464,27.96329114,0.434637514,28.09,0.366026869,14.543,0.134610465,0.020604651,0.063947674,0.084552326,0.341120728,0.187378049,42.633,0.243691123,0.33908214,0.365239295,0.2625,0.3112
E3,2,control,E,euc,11.695,0.78,0.324464543,0.249839846,28.43133201,0.411769384,21.882,0.370529667,12.475,0.091831395,0.004534884,0.067994186,0.07252907,0.363099223,0.200088355,34.357,0.06252505,0.388960205,0.414500684,0.27,0.365846682
E4,2,recovery,E,euc,20.705,3.134,0.273991637,0.17277689,29.01786824,0.442044748,31.783,0.377802344,23.839,0.159372093,0.01822093,0.120377907,0.138598837,0.428589407,0.177588033,55.622,0.131465246,0.407259141,0.430951709,0.25,0.292682927
E5,2,control,E,euc,17.669,1.492,0.337542506,0.261984197,26.54327563,0.413781625,25.868,0.38375267,19.161,0.12222093,0.008674419,0.102726744,0.111401163,0.425525772,0.201421183,45.029,0.0778665,0.395538244,0.405591866,0.310293386,0.378739656
E6,2,waterlogged,E,euc,5.234,1.778,0.217025335,0.128784586,38.79787077,0.453496969,21.402,0.389580603,7.012,0.117187919,0.011932886,0.035127517,0.047060403,0.246779756,0.159090909,28.414,0.253565317,0.392456219,0.397272727,0.1965496,0.302380952
